id,agency_name,sector,field_office
78,Environmental Management Bureau - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
79,Gamay Water District,National Government Agency (NGA),CSC Field Office - Northern Samar
80,Gen. Macarthur Water District,Water District (WD),CSC Field Office - Eastern Samar
81,Governor Benjamin T. Romualdez General Hospital and Schistosomiasis Center,National Government Agency (NGA),CSC Field Office - Leyte II
82,Guiuan Water District,Water District (WD),CSC Field Office - Eastern Samar
83,Isabel Water District ,Water District (WD),CSC Satellite Office - Western Leyte
84,Jaro Water District,Water District (WD),CSC Field Office - Leyte II
85,Land Transportation Franchising and Regulatory Board - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
86,Land Transportation Office - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
87,Laoang Water District,Water District (WD),CSC Field Office - Northern Samar
88,Leyte Metropolitan Water District,Water District (WD),CSC Field Office - Leyte I
89,Leyte Normal University,State University or College (SUC),CSC Field Office - Leyte I
90,Maasin Water District,Water District (WD),CSC Field Office - Southern Leyte
91,Maritime Industry Authority - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
92,Merida Water District ,Water District (WD),CSC Satellite Office - Western Leyte
93,Metro Carigara Water District ,Water District (WD),CSC Field Office - Leyte I
94,Metro Hilongos Water District,Water District (WD),CSC Field Office - Southern Leyte
95,Mines and Geosciences Bureau - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
96,"Municipal Government of Abuyog, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
97,"Municipal Government of Alangalang, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
98,"Municipal Government of Albuera, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
99,"Municipal Government of Allen, Northern Samar",Local Government Unit (LGU),CSC Field Office - Leyte I
100,"Municipal Government of Almagro, Samar",Local Government Unit (LGU),CSC Field Office - Samar
101,"Municipal Government of Almeria, Biliran",Local Government Unit (LGU),CSC Field Office - Samar
102,"Municipal Government of Anahawan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Northern Samar
103,"Municipal Government of Arteche, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Samar
104,"Municipal Government of Babatngon, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
105,"Municipal Government of Balangiga, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
106,"Municipal Government of Balangkayan, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
107,"Municipal Government of Barugo, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
108,"Municipal Government of Basey, Samar",Local Government Unit (LGU),CSC Field Office - Leyte I
109,"Municipal Government of Bato, Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
110,"Municipal Government of Biliran, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
111,"Municipal Government of Biri, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
112,"Municipal Government of Bobon, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
113,"Municipal Government of Bontoc, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
114,"Municipal Government of Burauen, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
115,"Municipal Government of Cabucgayan, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
116,"Municipal Government of Caibiran, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
117,"Municipal Government of Calbiga, Samar",Local Government Unit (LGU),CSC Field Office - Samar
118,"Municipal Government of Calubian, Leyte",Local Government Unit (LGU),CSC Field Office - Biliran
119,"Municipal Government of Can-Avid, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
120,"Municipal Government of Capoocan, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
121,"Municipal Government of Capul, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
122,"Municipal Government of Carigara, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
123,"Municipal Government of Catarman, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
124,"Municipal Government of Catubig, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
125,"Municipal Government of Culaba, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
126,"Municipal Government of Dagami, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
127,"Municipal Government of Daram, Samar",Local Government Unit (LGU),CSC Field Office - Samar
128,"Municipal Government of Dolores, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
129,"Municipal Government of Dulag, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
130,"Municipal Government of Gamay, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
131,"Municipal Government of Gandara, Samar",Local Government Unit (LGU),CSC Field Office - Samar
132,"Municipal Government of Gen. Macarthur, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
133,"Municipal Government of Giporlos, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
134,"Municipal Government of Guiuan, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
135,"Municipal Government of Hernani, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
136,"Municipal Government of Hilongos, Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
137,"Municipal Government of Hinabangan, Samar",Local Government Unit (LGU),CSC Field Office - Samar
138,"Municipal Government of Hindang, Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
139,"Municipal Government of Hinunangan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
140,"Municipal Government of Hinundayan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
141,"Municipal Government of Inopacan, Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
142,"Municipal Government of Isabel, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
143,"Municipal Government of Jaro, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
144,"Municipal Government of Javier, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
145,"Municipal Government of Jiabong, Samar",Local Government Unit (LGU),CSC Field Office - Samar
146,"Municipal Government of Jipapad, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
147,"Municipal Government of Julita, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
148,"Municipal Government of Kananga, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
149,"Municipal Government of Kawayan, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
150,"Municipal Government of La Paz, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
151,"Municipal Government of Laoang, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
152,"Municipal Government of Lapinig, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
153,"Municipal Government of Las Navas, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
154,"Municipal Government of Lavezares, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
155,"Municipal Government of Lawaan, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
156,"Municipal Government of Leyte, Leyte",Local Government Unit (LGU),CSC Field Office - Biliran
157,"Municipal Government of Libagon, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
158,"Municipal Government of Liloan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
159,"Municipal Government of Limasawa, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
160,"Municipal Government of Llorente, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
161,"Municipal Government of Lope de Vega, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
162,"Municipal Government of Macarthur, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
163,"Municipal Government of Macrohon, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
164,"Municipal Government of Mahaplag, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
165,"Municipal Government of Malitbog, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
166,"Municipal Government of Mapanas, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
167,"Municipal Government of Marabut, Samar",Local Government Unit (LGU),CSC Field Office - Leyte I
168,"Municipal Government of Maripipi, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
169,"Municipal Government of Maslog, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
170,"Municipal Government of Matag-ob, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
171,"Municipal Government of Matalom, Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
172,"Municipal Government of Matuguinao, Samar",Local Government Unit (LGU),CSC Field Office - Samar
173,"Municipal Government of Maydolong, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
174,"Municipal Government of Mayorga, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
175,"Municipal Government of Mercedes, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
176,"Municipal Government of Merida, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
177,"Municipal Government of Mondragon, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
178,"Municipal Government of Motiong, Samar",Local Government Unit (LGU),CSC Field Office - Samar
179,"Municipal Government of Naval, Biliran",Local Government Unit (LGU),CSC Field Office - Biliran
180,"Municipal Government of Oras, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
181,"Municipal Government of Padre Burgos, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
182,"Municipal Government of Pagsanghan, Samar",Local Government Unit (LGU),CSC Field Office - Samar
183,"Municipal Government of Palapag, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
184,"Municipal Government of Palo, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
185,"Municipal Government of Palompon, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
186,"Municipal Government of Pambujan, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
187,"Municipal Government of Paranas, Samar",Local Government Unit (LGU),CSC Field Office - Samar
188,"Municipal Government of Pastrana, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
189,"Municipal Government of Pinabacdao, Samar",Local Government Unit (LGU),CSC Field Office - Samar
190,"Municipal Government of Pintuyan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
191,"Municipal Government of Quinapondan, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
192,"Municipal Government of Rosario, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
193,"Municipal Government of Saint Bernard, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
194,"Municipal Government of Salcedo, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
195,"Municipal Government of San Antonio, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
196,"Municipal Government of San Francisco, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
197,"Municipal Government of San Isidro, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
198,"Municipal Government of San Isidro, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
199,"Municipal Government of San Jorge, Samar",Local Government Unit (LGU),CSC Field Office - Samar
200,"Municipal Government of San Jose De Buan, Samar",Local Government Unit (LGU),CSC Field Office - Samar
201,"Municipal Government of San Jose, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
202,"Municipal Government of San Juan, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
203,"Municipal Government of San Julian, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
204,"Municipal Government of San Miguel, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
205,"Municipal Government of San Policarpo, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
206,"Municipal Government of San Ricardo, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
207,"Municipal Government of San Roque, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
208,"Municipal Government of San Sebastian, Samar",Local Government Unit (LGU),CSC Field Office - Samar
209,"Municipal Government of San Vicente, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
210,"Municipal Government of Silago, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
211,"Municipal Government of Silvino Lobos, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
212,"Municipal Government of Sogod, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
213,"Municipal Government of St. Bernard, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
214,"Municipal Government of Sta. Fe, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
215,"Municipal Government of Sta. Margarita, Samar",Local Government Unit (LGU),CSC Field Office - Samar
216,"Municipal Government of Sta. Rita, Samar",Local Government Unit (LGU),CSC Field Office - Samar
217,"Municipal Government of Sto. Niño, Samar",Local Government Unit (LGU),CSC Field Office - Samar
218,"Municipal Government of Sulat, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
219,"Municipal Government of Tabango, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
220,"Municipal Government of Tabontabon, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
221,"Municipal Government of Taft, Eastern Samar",Local Government Unit (LGU),CSC Field Office - Eastern Samar
222,"Municipal Government of Tagapul-an, Samar",Local Government Unit (LGU),CSC Field Office - Samar
223,"Municipal Government of Talalora, Samar",Local Government Unit (LGU),CSC Field Office - Samar
224,"Municipal Government of Tanauan, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
225,"Municipal Government of Tarangnan, Samar",Local Government Unit (LGU),CSC Field Office - Samar
226,"Municipal Government of Tolosa, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte II
227,"Municipal Government of Tomas Oppus, Southern Leyte",Local Government Unit (LGU),CSC Field Office - Southern Leyte
228,"Municipal Government of Tunga, Leyte",Local Government Unit (LGU),CSC Field Office - Leyte I
229,"Municipal Government of Victoria, Northern Samar",Local Government Unit (LGU),CSC Field Office - Northern Samar
230,"Municipal Government of Villaba, Leyte",Local Government Unit (LGU),CSC Satellite Office - Western Leyte
231,"Municipal Government of Villareal, Samar",Local Government Unit (LGU),CSC Field Office - Samar
232,"Municipal Government of Zumarraga, Samar",Local Government Unit (LGU),CSC Field Office - Samar
233,National Bureau of Investigation - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
234,National Conciliation and Mediation Board - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
235,National Food Authority - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
236,National Irrigation Administration - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
237,National Maritime Polytechnic - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
238,National Police Commission - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
239,National Prosecution Service - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
240,National Telecommunications Commission - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
241,Naval Water District,Water District (WD),CSC Field Office - Biliran
242,Northwest Samar State University (NWSSU),State University or College (SUC),CSC Field Office - Samar
243,Palompon Institute of Technology - Main Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
244,Palompon Institute of Technology - Tabango Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
245,Parole and Probation Administration - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
246,Philippine Coconut Authority - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte II
247,Philippine Information Agency - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
248,Philippine National Police - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
249,Philippine Science High School - Eastern Visayas Campus,National Government Agency (NGA),CSC Field Office - Leyte II
250,Professional Regulation Commission - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
251,Provincial Government of Biliran,Local Government Unit (LGU),CSC Field Office - Biliran
252,Provincial Government of Eastern Samar,Local Government Unit (LGU),CSC Field Office - Eastern Samar
253,Provincial Government of Leyte,Local Government Unit (LGU),CSC Field Office - Leyte II
254,Provincial Government of Northern Samar,Local Government Unit (LGU),CSC Field Office - Northern Samar
255,Provincial Government of Samar,Local Government Unit (LGU),CSC Field Office - Samar
256,Provincial Government of Southern Leyte,Local Government Unit (LGU),CSC Field Office - Southern Leyte
257,Regional Tripartite Wages and Productivity Board VIII,National Government Agency (NGA),CSC Field Office - Leyte I
258,Samar State University,State University or College (SUC),CSC Field Office - Samar
259,San Isidro Water District,Water District (WD),CSC Field Office - Northern Samar
260,San Jose Water District,Water District (WD),CSC Field Office - Northern Samar
261,Sogod Water District,Water District (WD),CSC Field Office - Southern Leyte
262,Southern Leyte State University - Bontoc Campus,State University or College (SUC),CSC Field Office - Southern Leyte
263,Southern Leyte State University - Hinunangan Campus,State University or College (SUC),CSC Field Office - Southern Leyte
264,Southern Leyte State University - Maasin City Campus,State University or College (SUC),CSC Field Office - Southern Leyte
265,Southern Leyte State University - San Juan Campus,State University or College (SUC),CSC Field Office - Southern Leyte
266,Southern Leyte State University - Sogod Campus (Main Campus),State University or College (SUC),CSC Field Office - Southern Leyte
267,Southern Leyte State University - Tomas Oppus Campus,State University or College (SUC),CSC Field Office - Southern Leyte
268,Sulat Water District,Water District (WD),CSC Field Office - Eastern Samar
269,Taft Water District,Water District (WD),CSC Field Office - Eastern Samar
270,Technical Education and Skills Development Authority - Arteche National Agricultural School (TESDA-ANAS),National Government Agency (NGA),CSC Field Office - Leyte I
271,Technical Education and Skills Development Authority - Balangiga National Agricultural School (TESDA-BNAS),National Government Agency (NGA),CSC Field Office - Leyte I
272,Technical Education and Skills Development Authority - Balicuatro College of Arts and Trades (TESDA-BCAT),National Government Agency (NGA),CSC Field Office - Leyte I
273,Technical Education and Skills Development Authority - Cabucgayan National School of Arts and Trades (CNSAT),National Government Agency (NGA),CSC Field Office - Leyte I
274,Technical Education and Skills Development Authority - Calubian National Vocational School (TESDA-CNVS),National Government Agency (NGA),CSC Field Office - Leyte I
275,Technical Education and Skills Development Authority - Las Navas Agro-Industrial School (TESDA-LNAIS),National Government Agency (NGA),CSC Field Office - Leyte I
276,Technical Education and Skills Development Authority - Regional Office VIII,National Government Agency (NGA),CSC Field Office - Leyte I
277,Technical Education and Skills Development Authority - Samar National School of Arts and Trades (TESDA-SNSAT),National Government Agency (NGA),CSC Field Office - Leyte I
278,University of Eastern Philippines,State University or College (SUC),CSC Field Office - Northern Samar
279,University of the Philippines Tacloban College,State University or College (SUC),CSC Field Office - Leyte I
280,Victoria Water District,Water District (WD),CSC Field Office - Northern Samar
281,Visayas State University - Alangalang Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
282,Visayas State University - Isabel Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
283,Visayas State University - Main Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
284,Visayas State University - Tolosa Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
285,Visayas State University - Villaba Campus,State University or College (SUC),CSC Satellite Office - Western Leyte
